Año,Trimestre,Provincia,Mbps (Media de bajada)
2014,4,Salta,3860.0
2014,4,San Juan,3480.0
2014,4,San Luis,3500.0
2014,4,Santa Cruz,3330.0
2014,4,Santa Fe,3780.0
2014,4,Santiago Del Estero,3460.0
2014,4,Tierra Del Fuego,3470.0
2014,4,Tucumán,3860.0
2014,3,Buenos Aires,3970.0
2014,3,Capital Federal,4440.0
2014,3,Catamarca,2920.0
2014,3,Chaco,3460.0
2014,3,Chubut,3170.0
2014,3,Córdoba,3660.0
2014,3,Corrientes,3410.0
2014,3,Entre Ríos,3400.0
2014,3,Formosa,2660.0
2014,3,Jujuy,2930.0
2014,3,La Pampa,2820.0
2014,3,La Rioja,3100.0
2014,3,Mendoza,3500.0
2014,3,Misiones,3580.0
2014,3,Neuquén,3740.0
2014,3,Río Negro,3480.0
2014,3,Salta,3410.0
2014,3,San Juan,3470.0
2014,3,San Luis,3500.0
2014,3,Santa Cruz,3310.0
2014,3,Santa Fe,3380.0
2014,3,Santiago Del Estero,3100.0
2014,3,Tierra Del Fuego,3470.0
2014,3,Tucumán,3350.0
2014,2,Buenos Aires,3850.0
2014,2,Capital Federal,4250.0
2014,2,Catamarca,2920.0
2014,2,Chaco,3420.0
2014,2,Chubut,3160.0
2014,2,Córdoba,3560.0
2014,2,Corrientes,3370.0
2014,2,Entre Ríos,3310.0
2014,2,Formosa,2650.0
2014,2,Jujuy,2770.0
2014,2,La Pampa,2680.0
2014,2,La Rioja,3100.0
2014,2,Mendoza,3500.0
2014,2,Misiones,3540.0
2014,2,Neuquén,3660.0
2014,2,Río Negro,3430.0
2014,2,Salta,3390.0
2014,2,San Juan,3470.0
2014,2,San Luis,3500.0
2014,2,Santa Cruz,3320.0
2014,2,Santa Fe,3310.0
2014,2,Santiago Del Estero,3070.0
2014,2,Tierra Del Fuego,3470.0
2014,2,Tucumán,3350.0
2014,1,Buenos Aires,3730.0
2014,1,Capital Federal,4020.0
2014,1,Catamarca,2800.0
2014,1,Chaco,3260.0
2014,1,Chubut,3180.0
